Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,ID
2/1/2020,12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25,1
2/2/2020,16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25,2
2/3/2020,19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25,3
2/4/2020,23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26,4
2/5/2020,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26,5
2/6/2020,30802,634,1418,28750,3159,70,347,2.06,4.6,44.71,26,6
2/7/2020,34334,719,1903,31712,3532,85,485,2.09,5.54,37.78,26,7
2/8/2020,37068,806,2470,33792,2734,87,567,2.17,6.66,32.63,26,8
2/9/2020,40095,906,3057,36132,3027,100,587,2.26,7.62,29.64,26,9
3/1/2020,87690,2990,41208,43492,2384,54,2894,3.41,46.99,7.26,66,10
3/2/2020,89664,3079,44085,42500,1974,89,2877,3.43,49.17,6.98,73,11
3/3/2020,92241,3154,46681,42406,2577,75,2596,3.42,50.61,6.76,76,12
3/4/2020,94540,3249,49619,41672,2299,95,2938,3.44,52.48,6.55,80,13
3/5/2020,97331,3342,52237,41752,2791,93,2618,3.43,53.67,6.4,84,14
3/6/2020,101274,3454,54270,43550,3943,112,2033,3.41,53.59,6.36,93,15
3/7/2020,105312,3553,56760,44999,4038,99,2490,3.37,53.9,6.26,94,16
3/8/2020,109266,3797,59092,46377,3954,244,2332,3.48,54.08,6.43,99,17
3/9/2020,113166,3981,60891,48294,3900,184,1799,3.52,53.81,6.54,102,18
4/1/2020,947569,50029,189434,708106,76214,5551,15360,5.28,19.99,26.41,179,19
4/2/2020,1028968,56334,206052,766582,81399,6305,16618,5.47,20.03,27.34,180,20
4/3/2020,1112123,62319,221060,828744,83155,5985,15008,5.6,19.88,28.19,180,21
4/4/2020,1192586,68160,241072,883354,80463,5841,20012,5.72,20.21,28.27,180,22
4/5/2020,1264304,73181,254477,936646,71718,5021,13405,5.79,20.13,28.76,182,23
4/6/2020,1336976,79013,270812,987151,72672,5832,16335,5.91,20.26,29.18,183,24
4/7/2020,1413849,86915,293665,1033269,76873,7902,22853,6.15,20.77,29.6,183,25
4/8/2020,1497624,93650,322017,1081957,83775,6735,28352,6.25,21.5,29.08,183,26
4/9/2020,1584249,101279,346349,1136621,86625,7629,24332,6.39,21.86,29.24,183,27
5/1/2020,3355922,239881,1026501,2089540,87046,5177,36885,7.15,30.59,23.37,186,28
5/2/2020,3437608,245206,1066362,2126040,81853,5325,39861,7.13,31.02,22.99,186,29
5/3/2020,3515244,248659,1097577,2169008,77636,3453,31215,7.07,31.22,22.66,186,30
5/4/2020,3591321,252787,1130526,2208008,76078,4128,32949,7.04,31.48,22.36,186,31
5/5/2020,3671310,258658,1166155,2246497,79989,5871,35629,7.05,31.76,22.18,186,32
5/6/2020,3761332,265327,1210894,2285111,90022,6669,44739,7.05,32.19,21.91,186,33
5/7/2020,3850418,270736,1249311,2330371,90669,5409,38417,7.03,32.45,21.67,186,34
5/8/2020,3941935,276304,1284849,2380782,92997,5568,35538,7.01,32.59,21.5,186,35
5/9/2020,4027781,280569,1337367,2409845,85846,4265,52518,6.97,33.2,20.98,186,36
6/1/2020,6280725,376674,2639599,3264452,95195,3068,54010,6,42.03,14.27,187,37
6/2/2020,6401536,381497,2743083,3276956,121577,4823,103484,5.96,42.85,13.91,187,38
6/3/2020,6520924,387069,2821430,3312425,119389,5572,78347,5.94,43.27,13.72,187,39
6/4/2020,6647861,392218,2890776,3364867,126937,5149,69346,5.9,43.48,13.57,187,40
6/5/2020,6778724,396994,2959037,3422693,130863,4776,68261,5.86,43.65,13.42,187,41
6/6/2020,6914666,400875,3030214,3483577,135942,3881,71177,5.8,43.82,13.23,187,42
6/7/2020,7026925,403617,3084718,3538590,112259,2742,54504,5.74,43.9,13.08,187,43
6/8/2020,7129150,407314,3235640,3486196,102225,3697,150922,5.71,45.39,12.59,187,44
6/9/2020,7253492,412236,3317121,3524135,124342,4922,81481,5.68,45.73,12.43,187,45
7/1/2020,10667386,516221,5397083,4754082,217689,5011,115624,4.84,50.59,9.56,187,46
7/2/2020,10875091,521341,5681477,4672273,207705,5120,284394,4.79,52.24,9.18,187,47
7/3/2020,11078585,526336,5790942,4761307,203495,4995,109465,4.75,52.27,9.09,187,48
7/4/2020,11272152,530705,5986375,4755072,193567,4369,195433,4.71,53.11,8.87,187,49
7/5/2020,11454847,534150,6105546,4815151,182695,3445,119171,4.66,53.3,8.75,187,50
7/6/2020,11622190,537947,6228768,4855475,167343,3797,123222,4.63,53.59,8.64,187,51
7/7/2020,11833034,544054,6373513,4915467,210844,6107,144745,4.6,53.86,8.54,187,52
7/8/2020,12044836,549373,6531016,4964447,211802,5319,157503,4.56,54.22,8.41,187,53
7/9/2020,12273063,554831,6665237,5052995,228227,5458,134221,4.52,54.31,8.32,187,54
